Timestamp,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
01/01/2023 00:00,1.748357077,0.289273523,245.7168077,9.197295187,4,0,0
01/01/2023 01:00,1.430867849,0.42202829,240.9242933,3.086284744,0,2,2
01/01/2023 02:00,1.823844269,0.192332087,241.2609743,4.750454834,1,2,1
01/01/2023 03:00,2.261514928,0.223748076,230.1484571,6.958005248,0,4,2
01/01/2023 04:00,1.382923313,0.403630289,228.9854332,4.292867431,1,0,1
01/01/2023 05:00,1.382931522,0.240446506,238.8971703,6.527638171,1,2,1
01/01/2023 06:00,2.289606408,0.390053308,241.2345303,6.482152158,2,0,1
01/01/2023 07:00,1.883717365,0.469943598,234.3740109,5.62585146,1,4,2
01/01/2023 08:00,1.265262807,0.259820497,234.5565329,7.664801077,1,4,2
01/01/2023 09:00,1.771280022,0.368136233,242.8073631,5.543278415,1,2,0
01/01/2023 10:00,1.268291154,0.184630772,242.8142724,6.463082138,0,1,1
01/01/2023 11:00,1.267135123,0.37547333,239.3112947,8.292943755,1,3,1
01/01/2023 12:00,1.620981136,0.319942399,243.9010086,7.58137242,2,2,2
01/01/2023 13:00,0.543359878,0.347303828,234.1289885,7.572034582,1,3,0
01/01/2023 14:00,0.637541084,0.235442793,238.2203254,3.701640796,2,0,2
01/01/2023 15:00,1.218856235,0.133891658,248.239388,7.049585151,1,3,2
01/01/2023 16:00,0.99358444,0.350325206,240.3416106,4.243002418,4,0,5
01/01/2023 17:00,1.657123666,0.093659685,240.6315626,3.43717004,1,2,2
01/01/2023 18:00,1.045987962,0.268264951,251.5297329,5.856587307,1,4,2
01/01/2023 19:00,0.793848149,0.394118187,233.0032892,4.191409627,1,0,0
01/01/2023 20:00,2.232824384,0.319189774,243.9821518,7.581235438,1,0,0
01/01/2023 21:00,1.38711185,0.494834264,248.3199314,7.629070919,1,1,0
01/01/2023 22:00,1.533764102,0.402510915,238.3757104,2.194747527,2,1,2
01/01/2023 23:00,0.787625907,0.234610161,244.2981539,4.343394921,0,2,1
02/01/2023 00:00,1.227808638,0.302731338,235.0899025,3.080426656,1,2,2
02/01/2023 01:00,1.555461295,0.29526293,236.566338,5.074741447,2,2,1
02/01/2023 02:00,0.924503211,0.141782324,241.9248321,6.91035134,4,4,4
02/01/2023 03:00,1.687849009,0.205960108,243.9928334,5.515423804,1,0,2
02/01/2023 04:00,1.199680655,0.243923909,245.6046826,4.820481519,1,2,0
02/01/2023 05:00,1.354153125,0.09637795,247.8481429,8.600353054,2,3,2
02/01/2023 06:00,1.199146694,0.304749347,239.6627672,1.390285655,1,1,1
02/01/2023 07:00,2.426139092,0.275092816,245.9680588,8.473743787,0,0,0
02/01/2023 08:00,1.493251388,0.13271061,238.2884758,4.911423414,0,0,5
02/01/2023 09:00,0.971144536,0.340421287,244.5104566,5.84378198,0,0,5
02/01/2023 10:00,1.911272456,0.371587274,241.037444,4.945273325,1,2,4
02/01/2023 11:00,0.889578175,0.322703448,242.2283895,9.085776211,1,1,4
02/01/2023 12:00,1.604431798,0.267593182,242.1175394,3.538043006,2,1,3
02/01/2023 13:00,0.520164938,0.359144215,231.976475,6.023472739,0,1,2
